MTV,#genre#
CCTV6,http://rihou.cc:555/tv/CCTV6酒店
CCTV7,http://rihou.cc:555/tv/CCTV7酒店
CCTV8,http://rihou.cc:555/tv/CCTV8酒店
CCTV9,http://rihou.cc:555/tv/CCTV9酒店
CCTV10,http://rihou.cc:555/tv/CCTV10酒店
CCTV11,http://rihou.cc:555/tv/CCTV11酒店
CCTV12,http://rihou.cc:555/tv/CCTV12酒店
CCTV13,http://rihou.cc:555/tv/CCTV13酒店
CCTV14,http://rihou.cc:555/tv/CCTV14酒店
CCTV15,http://rihou.cc:555/tv/CCTV15酒店
CCTV16,http://rihou.cc:555/tv/CCTV16酒店
CCTV16(4K),http://rihou.cc:555/tv/CCTV16(4K)
CCTV17,http://rihou.cc:555/tv/CCTV17酒店
CCTV4K,http://rihou.cc:555/tv/CCTV4K
CCTV8K,http://rihou.cc:555/tv/CCTV8K
CGTN,http://rihou.cc:555/tv/CGTN
CGTN法语,http://rihou.cc:555/tv/CGTN法语
CGTN俄语,http://rihou.cc:555/tv/CGTN俄语
CGTN阿拉伯语,http://rihou.cc:555/tv/CGTN阿拉伯语
CGTN西班牙语,http://rihou.cc:555/tv/CGTN西班牙语
CGTN外语纪录,http://rihou.cc:555/tv/CGTN外语纪录
CCTV风云剧场,http://rihou.cc:555/tv/CCTV风云剧场
CCTV第一剧场,http://rihou.cc:555/tv/CCTV第一剧场
CCTV怀旧剧场,http://rihou.cc:555/tv/CCTV怀旧剧场
CCTV世界地理,http://rihou.cc:555/tv/CCTV世界地理 
CCTV风云音乐,http://rihou.cc:555/tv/CCTV风云音乐 
CCTV兵器科技,http://rihou.cc:555/tv/CCTV兵器科技 
CCTV风云足球,http://rihou.cc:555/tv/CCTV风云足球
CCTV高尔夫·网球,http://rihou.cc:555/tv/CCTV高尔夫·网球 
CCTV女性时尚,http://rihou.cc:555/tv/CCTV女性时尚
CCTV央视文化精品,http://rihou.cc:555/tv/CCTV央视文化 
CCTV央视台球,http://rihou.cc:555/tv/CCTV央视台球
CCTV电视指南,http://rihou.cc:555/tv/CCTV电视指南
CCTV卫生健康,http://rihou.cc:555/tv/CCTV卫生健康 
湖南卫视,http://rihou.cc:555/tv/湖南卫视
江苏卫视,http://rihou.cc:555/tv/江苏卫视4K
浙江卫视,http://rihou.cc:555/tv/浙江卫视4K
东方卫视,http://rihou.cc:555/tv/东方卫视4K
深圳卫视,http://rihou.cc:555/tv/szws
北京卫视,http://rihou.cc:555/tv/北京卫视4K
湖北卫视,http://rihou.cc:555/tv/湖北卫视
广东卫视,http://rihou.cc:555/tv/广东卫视酒店
广西卫视,http://rihou.cc:555/tv/广西卫视
黑龙江卫视,http://rihou.cc:555/tv/黑龙江卫视
海南卫视,http://rihou.cc:555/tv/海南卫视
重庆卫视,http://rihou.cc:555/tv/重庆卫视
四川卫视,http://rihou.cc:555/tv/四川卫视4K
河南卫视,http://rihou.cc:555/tv/河南卫视
福建东南卫视,http://rihou.cc:555/tv/福建东南卫视
贵州卫视,http://rihou.cc:555/tv/贵州卫视
江西卫视,http://rihou.cc:555/tv/江西卫视
辽宁卫视,http://rihou.cc:555/tv/辽宁卫视
安徽卫视,http://rihou.cc:555/tv/安徽卫视
河北卫视,http://rihou.cc:555/tv/河北卫视
山东卫视,http://rihou.cc:555/tv/山东卫视
天津卫视,http://rihou.cc:555/tv/天津卫视
吉林卫视,http://rihou.cc:555/tv/吉林卫视  
陕西卫视,http://rihou.cc:555/tv/陕西卫视   
宁夏卫视,http://rihou.cc:555/tv/宁夏卫视  
内蒙古卫视,http://rihou.cc:555/tv/内蒙古卫视   
云南卫视,http://rihou.cc:555/tv/云南卫视  
山西卫视,http://rihou.cc:555/tv/山西卫视   
青海卫视,http://rihou.cc:555/tv/青海卫视
甘肃卫视,http://rihou.cc:555/tv/甘肃卫视
西藏卫视,http://rihou.cc:555/tv/西藏卫视  
新疆卫视,http://rihou.cc:555/tv/新疆卫视
兵团卫视,http://rihou.cc:555/tv/兵团卫视
大湾区卫视,http://rihou.cc:555/tv/大湾区卫视1
延边卫视,http://rihou.cc:555/tv/延边卫视
三沙卫视,http://rihou.cc:555/tv/三沙卫视
海峡卫视,http://rihou.cc:555/tv/海峡卫视
农林卫视,http://rihou.cc:555/tv/农林卫视
厦门卫视,http://rihou.cc:555/tv/厦门卫视
CETV1,http://rihou.cc:555/tv/CETV1
CETV2,http://rihou.cc:555/tv/CETV2
CETV3,http://rihou.cc:555/tv/CETV3
CETV4,http://rihou.cc:555/tv/CETV4
全球时尚,https://player.juyun.tv/camera/137932133.m3u8
动漫秀场,http://111.56.90.5/000000000000/5000000011000031113/1.m3u8
生活时尚,http://111.56.90.5/000000000000/5000000002000019634/1.m3u8
金色学堂,http://111.56.90.5/000000000000/5000000010000026105/1.m3u8
法治天地,http://111.56.90.5/000000000000/9001547084732463424/1.m3u8
都市剧场,http://111.56.90.5/000000000000/5000000011000031111/1.m3u8
乐游频道,http://111.56.90.5/000000000000/5000000011000031112/1.m3u8



雨露央视频道,#genre#


CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8$福州酒店
CCTV2,http://120.40.39.246:352/newlive/live/hls/2/live.m3u8$福州酒店
CCTV3,http://120.40.39.246:352/newlive/live/hls/3/live.m3u8$福州酒店
CCTV4,http://120.40.39.246:352/newlive/live/hls/4/live.m3u8$福州酒店
CCTV5,http://120.40.39.246:352/newlive/live/hls/5/live.m3u8$福州酒店
CCTV5+,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8$福州酒店
CCTV6,http://120.40.39.246:352/newlive/live/hls/7/live.m3u8$福州酒店
CCTV7,http://120.40.39.246:352/newlive/live/hls/8/live.m3u8$福州酒店
CCTV8,http://120.40.39.246:352/newlive/live/hls/9/live.m3u8$福州酒店
CCTV9,http://120.40.39.246:352/newlive/live/hls/10/live.m3u8$福州酒店
CCTV10,http://120.40.39.246:352/newlive/live/hls/11/live.m3u8$福州酒店
CCTV11,http://120.40.39.246:352/newlive/live/hls/12/live.m3u8$福州酒店
CCTV12,http://120.40.39.246:352/newlive/live/hls/13/live.m3u8$福州酒店
CCTV13,http://120.40.39.246:352/newlive/live/hls/14/live.m3u8$福州酒店
CCTV14,http://120.40.39.246:352/newlive/live/hls/15/live.m3u8$福州酒店
CCTV15,http://120.40.39.246:352/newlive/live/hls/16/live.m3u8$福州酒店
重庆卫视,http://120.40.39.246:352/newlive/live/hls/36/live.m3u8$福州酒店
江苏卫视,http://120.40.39.246:352/newlive/live/hls/22/live.m3u8$福州酒店
浙江卫视,http://120.40.39.246:352/newlive/live/hls/23/live.m3u8$福州酒店
东方卫视,http://120.40.39.246:352/newlive/live/hls/20/live.m3u8$福州酒店
深圳卫视,http://120.40.39.246:352/newlive/live/hls/28/live.m3u8$福州酒店
北京卫视,http://120.40.39.246:352/newlive/live/hls/37/live.m3u8$福州酒店
山东卫视,http://120.40.39.246:352/newlive/live/hls/26/live.m3u8$福州酒店
天津卫视,http://120.40.39.246:352/newlive/live/hls/32/live.m3u8$福州酒店
贵州卫视,http://120.40.39.246:352/newlive/live/hls/30/live.m3u8$福州酒店
四川卫视,http://120.40.39.246:352/newlive/live/hls/33/live.m3u8$福州酒店
黑龙江卫视,http://120.40.39.246:352/newlive/live/hls/29/live.m3u8$福州酒店
安徽卫视,http://120.40.39.246:352/newlive/live/hls/31/live.m3u8$福州酒店
江西卫视,http://120.40.39.246:352/newlive/live/hls/34/live.m3u8$福州酒店
湖北卫视,http://120.40.39.246:352/newlive/live/hls/27/live.m3u8$福州酒店
东南卫视,http://120.40.39.246:352/newlive/live/hls/19/live.m3u8$福州酒店
辽宁卫视,http://120.40.39.246:352/newlive/live/hls/35/live.m3u8$福州酒店
湖南卫视,http://120.40.39.246:352/newlive/live/hls/21/live.m3u8$福州酒店
广东卫视,http://120.40.39.246:352/newlive/live/hls/25/live.m3u8$福州酒店
河南卫视,http://120.40.39.246:352/newlive/live/hls/38/live.m3u8$福州酒店
河北卫视,http://120.40.39.246:352/newlive/live/hls/24/live.m3u8$福州酒店
福建综合,http://120.40.39.246:352/newlive/live/hls/18/live.m3u8$福州酒店











地方频道,#genre#

青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
巩义新闻综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8
荥阳综合,http://tvpull.dxhmt.cn:9081/tv/10182-1.m3u8
新安新闻综合,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8
登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
宜阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
叶县电视,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
内黄综合频道,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
温县综合,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8
灵宝新闻综合,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8
邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8
西华综合频道,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8
新县综合,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8
新蔡综合,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8
济源综合,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8
项城新闻,http://tvpull.dxhmt.cn:9081/tv/11681-1.m3u8
叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
长宁综合,http://cnpull.sccnfb.com/live/123456.m3u8
高邮综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
伊犁汉语综合,http://110.153.180.106:55555/out_1/index.m3u8
伊犁哈萨克,http://110.153.180.106:55555/out_3/index.m3u8
伊犁经济法制,http://110.153.180.106:55555/out_4/index.m3u8
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中综合,http://jzlive.jztvnews.com:83/live/mount_for_ts/jzzh.m3u8
吴忠综合,http://live.kanwz.net/zhpd/sd/live.m3u8
潞城新闻综合,http://59.48.42.6:62204/lucheng.m3u8
玛纳斯综合,http://218.84.127.245:1026/hls/main1/playlist.m3u8
泸县新闻综合,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8
石河子新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8
来宾综合,http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8
贺州综合,http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8
可克达拉综合,http://test5.btzx.com.cn/live/kkdl.stream/playlist.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
奎屯汉语综合,http://218.84.12.186:8001/hls/main/playlist.m3u8
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
吉县新闻综合,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8
什邡新闻频道,http://live.sfrmt.com:85/live/zhpd.m3u8
马尔康综合,http://live.zmmek.com:90/live/zhxw.m3u8
汶川新闻综合,http://live.iwcmt.cn:90/live/zhxw.m3u8
方城一套,http://tvpull.dxhmt.cn:9081/tv/11322-1.m3u8
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
金川新闻综合,http://live.jinchuanrmt.com:90/live/zhxw.m3u8
松桃,http://live.strmtzx.cn/stxw/playlist.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/playlist.m3u8
哈尔滨新闻,http://stream.hrbtv.net/xwzh/playlist.m3u8
荆门新闻,http://stream.jmtv.com.cn/xwzh/playlist.m3u8
哈尔滨生活,http://stream.hrbtv.net/shpd/playlist.m3u8
荆门教育,http://stream.jmtv.com.cn/ggsh/playlist.m3u8
淮安影视,http://live1.habctv.com/ysylsl/playlist.m3u8
淮安公共,http://live1.habctv.com/ggpdsl/playlist.m3u8
晋城新闻,http://live.jinnews.com.cn/xwzh/playlist.m3u8
晋城公共,http://live.jinnews.com.cn/ggpd/playlist.m3u8
公主岭综合,http://stream5.jlntv.cn/gzl/playlist.m3u8
枣庄新闻,http://stream.zztvzd.com/1/playlist.m3u8
枣庄教育,http://stream.zztvzd.com/2/playlist.m3u8
枣庄公共,http://stream.zztvzd.com/3/playlist.m3u8
万州综合频道(576p),http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
吴忠综合,http://live.kanwz.net/zhpd/playlist.m3u8
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
河北荆门教育,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
河北荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
河南兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
郸城新闻综合,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
济源电视体系,http://live.dxhmt.cn:9081/tv/19001-1.m3u8
开封新闻综合,http://live.dxhmt.cn:9081/tv/10200-2.m3u8
河南|宜阳综合,http://live.dxhmt.cn:9081/tv/10327-1.m3u8
河南|杞县综合,http://live.dxhmt.cn:9081/tv/10221-1.m3u8
河南|灵宝电视台,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
河南|叶县电视台,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
河南|禹州综合,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
河南|项城电视台,http://live.dxhmt.cn:9081/tv/11681-1.m3u8
河南|渑池综合,http://live.dxhmt.cn:9081/tv/11221-1.m3u8
河南|河南新闻,http://live.dxhmt.cn:9081/tv/10825-1.m3u8
河南|卫辉综合,http://live.dxhmt.cn:9081/tv/10781-1.m3u8
河南|汤阴电视台,http://live.dxhmt.cn:9081/tv/10523-1.m3u8
河南|林州电视台,http://live.dxhmt.cn:9081/tv/10581-1.m3u8
河南|新野综合,http://live.dxhmt.cn:9081/tv/11329-1.m3u8
河南|新安电视台,http://live.dxhmt.cn:9081/tv/10323-1.m3u8
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8?zjiansd
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiansd
鄂托克旗电视台,http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8
河南淅川电视台,http://live.dxhmt.cn:9081/tv/11326-1.m3u8
南宁都市生活频道,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁新闻综合频道,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁公共频道,https://hls.nntv.cn/nnlive/GGPD_24.m3u8
荣昌综合频道,http://183.64.181.25:40023/rongchang01.m3u8
张家口一套新闻综合频道,http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
万州综合频道,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
十堰新闻综合频道,https://p8.vzan.com/slowlive/034028687228317362/live.m3u8
荆门新闻频道,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
新郑新闻综合频道,http://live.dxhmt.cn:9081/tv/10184-1.m3u8
内黄新闻综合频道,http://live.dxhmt.cn:9081/tv/10527-1.m3u8
获嘉新闻综合频道,http://live.dxhmt.cn:9081/tv/10724-1.m3u8
汝阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10326-1.m3u8
焦作公共频道,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
沁阳新闻综合频道,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
焦作新闻综合频道,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
孟州新闻综合频道,http://live.dxhmt.cn:9081/tv/10883-1.m3u8
灵宝新闻综合频道,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
兰考新闻综合频道,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
开封公共频道,http://tvpull.dxhmt.cn:9081/tv/10200-3.m3u8
襄城新闻综合频道,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
鄢陵新闻综合频道,http://live.dxhmt.cn:9081/tv/11024-1.m3u8
禹州新闻综合频道,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
宝丰新闻综合频道,http://live.dxhmt.cn:9081/tv/10421-1.m3u8
确山新闻综合频道,http://live.dxhmt.cn:9081/tv/11725-1.m3u8
德阳公共频道,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8
广安公共频道,http://live1.gatv.com.cn:85/live/GGPD.m3u8
泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
广南电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel19/playlist.m3u8
富宁电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel13/playlist.m3u8
丘北电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel14/playlist.m3u8
江宁电视台综合频道,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8
如东一套新闻综合频道,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
广安新闻综合频道,http://live1.gatv.com.cn:85/live/XWZH.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
泗洪新闻综合频道,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8
河源综合频道,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共频道,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
涟水电视台综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8
丘北新闻综合,https://epg.pw/stream/34f594424a186a28a9521b8cb3912cdf85b93897313182a9abeaf096b23e9458.m3u8
丘北新闻综合,https://epg.pw/stream/4b5706a180b5efb75917a24dfa73a63c0befc8f2fe701017d2bf9c846479ace3.m3u8
伊春新聞綜合,https://epg.pw/stream/fda444a770245fbced13c1292344da143a4ba42d98de269c5614119a78435716.m3u8
义乌新闻,https://epg.pw/stream/9406fbf54133d1fe56dad9e979ede745f39a5ecd64b1ba3705c60a33ca5cc815.m3u8

内黄新闻综合频道,https://epg.pw/stream/be7e252270432ee9f17312a39a1f303c3d89f55594ed1d36f9ba46cc61e7a1a5.m3u8
武义新闻综合,https://epg.pw/stream/571f9097fdacfdabda282a2d677089e472be19a1160207daa99c5d47ba171706.m3u8
浙江新闻,https://epg.pw/stream/4cb4bcb7ae35f2b30dee6b1be1a2d22108c73e9bc3729826ea009821ae7af456.m3u8
江蘇公共新聞,https://epg.pw/stream/52e6b218b89c4eb770a708a7ad50bce31279aa79c1d0f6bed318afb57ae35287.m3u8
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8
吉县新闻,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中新闻,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
少儿频道,https://hls.gstv.com.cn/9hvng2/23ol9u.m3u8
上虞新闻,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
七星关电视台,https://p8.vzan.com:443/slowlive/147077707554082780/live.m3u8
南宁新闻,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁公共,https://hls.nntv.cn/nnlive/GGPD_24.m3u8
沭阳电视台,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
江阴电视台,http://221.228.70.101:8080/live/xinwen.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8?zjiangsd
淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8?zjiangsd
张家港民生频道,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8?zjiangsd
东台综合频道,http://dongtai-tv-hls.cm.jstv.com/dongtai-tv/dongtaizonghe.m3u8?zjiangsd
金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8?zjiangsd
大丰公共频道,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8?zjiangsd
金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8?zjiangsd
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8?zjiangsd
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8?zjiangsd
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8?zjiangsd
烟台新闻综合,http://live.yantaitv.cn/live/3e81a8879da44c5dadf3bd9c10468e1c/9b776d420ee4438199b7657c8eb88f07-1.m3u8?shandd
烟台公共,http://live.yantaitv.cn/live/e50f104a4ffe4a41b2217cbda534146f/d86092e69df94668b33390278b061700-1.m3u8?shandd
烟台经济科技,http://live.yantaitv.cn/live/27f84144e95a4652ae9e5c211b2a6b55/405f3e33ba384aa0a16014d0becd1261-1.m3u8?shandd
枣庄教育,http://stream.zztvzd.com/2/sd/live.m3u8?shandd
枣庄公共,http://stream.zztvzd.com/3/sd/live.m3u8?shandd
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8?zsicd
德阳新闻综合,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8?zsicd
